# id:20302508,MIN WU,,,value
x1,x2,x3,x4,y
-0.28,0.99,0.0784,0.9801,1
-0.9,0.1,0.81,0.01,-1
-0.87,-0.75,0.7569,0.5625,-1
-0.58,-0.89,0.3364,0.7921,-1
0.05,-0.25,0.0025,0.0625,-1
-0.43,-0.33,0.1849,0.1089,-1
-0.69,0.92,0.4761,0.8464,-1
-0.79,-0.4,0.6241,0.16,-1
0.45,0.07,0.2025,0.0049,-1
-0.7,-0.04,0.49,0.0016,-1
0.86,0.69,0.7396,0.4761,-1
0.39,0.8,0.1521,0.64,1
-0.64,0.93,0.4096,0.8649,1
-0.76,-0.65,0.5776,0.4225,-1
-0.93,0.4,0.8649,0.16,-1
-0.28,0.98,0.0784,0.9604,1
0.96,-0.71,0.9216,0.5041,-1
-0.42,-0.49,0.1764,0.2401,-1
-0.43,0.97,0.1849,0.9409,1
0.44,-0.74,0.1936,0.5476,-1
-0.46,-0.88,0.2116,0.7744,-1
0.62,0.52,0.3844,0.2704,-1
0.81,0.89,0.6561,0.7921,-1
-0.76,-0.88,0.5776,0.7744,-1
-0.21,-0.81,0.0441,0.6561,-1
-0.91,-0.08,0.8281,0.0064,-1
-0.94,-0.13,0.8836,0.0169,-1
0.95,0.45,0.9025,0.2025,-1
-0.57,-0.98,0.3249,0.9604,-1
0.99,0.47,0.9801,0.2209,-1
-0.51,-1,0.2601,1,-1
-0.32,0.63,0.1024,0.3969,1
-0.33,0.43,0.1089,0.1849,1
-0.42,0.67,0.1764,0.4489,1
-0.15,-0.54,0.0225,0.2916,-1
-0.49,-0.45,0.2401,0.2025,-1
-0.84,-0.38,0.7056,0.1444,-1
-0.9,-0.43,0.81,0.1849,-1
-0.45,0,0.2025,0,-1
-0.03,-0.02,0.0009,0.0004,-1
0.67,0.48,0.4489,0.2304,-1
-0.53,-0.84,0.2809,0.7056,-1
-0.19,-0.17,0.0361,0.0289,-1
0.03,0.42,0.0009,0.1764,1
0.37,-0.74,0.1369,0.5476,-1
0.9,-0.22,0.81,0.0484,-1
0.36,-0.06,0.1296,0.0036,-1
0.69,0.05,0.4761,0.0025,-1
0.47,0.6,0.2209,0.36,1
0.27,-0.43,0.0729,0.1849,-1
-0.46,-0.77,0.2116,0.5929,-1
0.81,-0.29,0.6561,0.0841,-1
-0.3,0.53,0.09,0.2809,1
0.02,-0.45,0.0004,0.2025,-1
0.01,0.93,0.0001,0.8649,1
0.46,0.83,0.2116,0.6889,1
-0.54,0.18,0.2916,0.0324,-1
-0.91,-0.14,0.8281,0.0196,-1
-0.72,-0.68,0.5184,0.4624,-1
0.48,0.59,0.2304,0.3481,1
0.66,-0.87,0.4356,0.7569,-1
0.3,0.95,0.09,0.9025,1
0.11,-0.36,0.0121,0.1296,-1
0.76,0.67,0.5776,0.4489,-1
0.82,-0.33,0.6724,0.1089,-1
-0.86,-0.87,0.7396,0.7569,-1
0.26,-0.4,0.0676,0.16,-1
0.31,-0.3,0.0961,0.09,-1
-0.59,-0.02,0.3481,0.0004,-1
0.11,-0.54,0.0121,0.2916,-1
-0.62,-0.89,0.3844,0.7921,-1
0.9,0.42,0.81,0.1764,-1
-0.87,-0.47,0.7569,0.2209,-1
0.89,-0.71,0.7921,0.5041,-1
-0.8,-0.9,0.64,0.81,-1
-0.57,-0.75,0.3249,0.5625,-1
-0.51,0.51,0.2601,0.2601,1
0.73,-0.18,0.5329,0.0324,-1
0.81,0.23,0.6561,0.0529,-1
-0.78,-0.67,0.6084,0.4489,-1
-0.78,-0.28,0.6084,0.0784,-1
-0.65,-0.38,0.4225,0.1444,-1
-0.57,-0.25,0.3249,0.0625,-1
0.15,-0.36,0.0225,0.1296,-1
0.53,-0.16,0.2809,0.0256,-1
-0.41,0.28,0.1681,0.0784,-1
0.79,0.77,0.6241,0.5929,-1
0.59,0.49,0.3481,0.2401,-1
-0.92,0.3,0.8464,0.09,-1
0.58,0.52,0.3364,0.2704,-1
0.53,0.75,0.2809,0.5625,1
0.6,-0.9,0.36,0.81,-1
0.08,-0.47,0.0064,0.2209,-1
0.11,0.69,0.0121,0.4761,1
0.42,0.21,0.1764,0.0441,-1
0.85,0.8,0.7225,0.64,-1
-0.48,0.59,0.2304,0.3481,1
-0.29,0.17,0.0841,0.0289,1
0.72,0.26,0.5184,0.0676,-1
0.95,-0.17,0.9025,0.0289,-1
-0.49,-0.64,0.2401,0.4096,-1
0.81,0.96,0.6561,0.9216,-1
0.73,0.04,0.5329,0.0016,-1
-0.62,-0.86,0.3844,0.7396,-1
0.7,0.56,0.49,0.3136,-1
0.85,0.41,0.7225,0.1681,-1
0.27,0.93,0.0729,0.8649,1
-0.55,-0.37,0.3025,0.1369,-1
0.13,-0.66,0.0169,0.4356,-1
0.1,-0.71,0.01,0.5041,-1
-0.41,-0.19,0.1681,0.0361,-1
0.84,-0.38,0.7056,0.1444,-1
0.17,-0.66,0.0289,0.4356,-1
0.04,-0.27,0.0016,0.0729,-1
-0.4,-0.58,0.16,0.3364,-1
0.37,-0.74,0.1369,0.5476,-1
0.94,0.53,0.8836,0.2809,-1
-0.92,0.99,0.8464,0.9801,-1
0.42,0.11,0.1764,0.0121,-1
-1,-0.79,1,0.6241,-1
0.42,-0.19,0.1764,0.0361,-1
0.2,-0.36,0.04,0.1296,-1
-0.06,0.81,0.0036,0.6561,1
0.72,-0.15,0.5184,0.0225,-1
-0.38,0.45,0.1444,0.2025,1
0.1,-0.19,0.01,0.0361,-1
-0.02,-0.25,0.0004,0.0625,-1
-0.22,-0.16,0.0484,0.0256,-1
0.21,-0.75,0.0441,0.5625,-1
0.99,-0.75,0.9801,0.5625,-1
0.06,0.68,0.0036,0.4624,1
-0.06,-0.12,0.0036,0.0144,-1
0.45,0.82,0.2025,0.6724,1
-0.71,0.53,0.5041,0.2809,-1
0.87,-0.85,0.7569,0.7225,-1
0.86,0.25,0.7396,0.0625,-1
-0.89,-0.77,0.7921,0.5929,-1
0.91,0.01,0.8281,0.0001,-1
0.67,-0.79,0.4489,0.6241,-1
-0.45,-0.8,0.2025,0.64,-1
0.64,0.27,0.4096,0.0729,-1
0.54,-0.79,0.2916,0.6241,-1
-0.94,0.66,0.8836,0.4356,-1
-0.59,0.95,0.3481,0.9025,1
0.6,0.81,0.36,0.6561,1
-0.77,0.67,0.5929,0.4489,-1
0.69,0.78,0.4761,0.6084,-1
0.88,0.68,0.7744,0.4624,-1
-0.09,0.35,0.0081,0.1225,1
-0.81,0.9,0.6561,0.81,-1
0.73,0.54,0.5329,0.2916,-1
-0.07,0.07,0.0049,0.0049,1
0.02,0.14,0.0004,0.0196,1
-0.08,0.55,0.0064,0.3025,1
-0.66,0.15,0.4356,0.0225,-1
0.93,0.38,0.8649,0.1444,-1
-0.24,0.06,0.0576,0.0036,-1
0.83,-0.06,0.6889,0.0036,-1
0.9,0.85,0.81,0.7225,-1
-0.82,-0.96,0.6724,0.9216,-1
-0.33,0.77,0.1089,0.5929,1
-0.58,-0.3,0.3364,0.09,-1
-0.61,0.72,0.3721,0.5184,1
-0.99,-0.37,0.9801,0.1369,-1
0.58,-0.03,0.3364,0.0009,-1
-0.05,-0.1,0.0025,0.01,-1
0.99,0.67,0.9801,0.4489,-1
-0.19,0.49,0.0361,0.2401,1
0.3,0.39,0.09,0.1521,1
0.15,0.58,0.0225,0.3364,1
-0.11,-0.76,0.0121,0.5776,-1
-0.84,-0.33,0.7056,0.1089,-1
-0.48,0.07,0.2304,0.0049,-1
-1,0.08,1,0.0064,-1
0.05,-0.35,0.0025,0.1225,-1
0.24,0.61,0.0576,0.3721,1
-0.19,0.6,0.0361,0.36,1
0.45,-0.6,0.2025,0.36,-1
0.02,0.71,0.0004,0.5041,1
-0.55,-0.15,0.3025,0.0225,-1
0.92,0.75,0.8464,0.5625,-1
0.15,0.91,0.0225,0.8281,1
0.07,-0.58,0.0049,0.3364,-1
-0.29,-0.57,0.0841,0.3249,-1
-0.02,0.49,0.0004,0.2401,1
-0.78,-0.28,0.6084,0.0784,-1
-0.64,0.54,0.4096,0.2916,-1
-0.84,-0.02,0.7056,0.0004,-1
0.46,-1,0.2116,1,-1
-0.86,-0.54,0.7396,0.2916,-1
-0.61,-0.63,0.3721,0.3969,-1
-0.1,0.52,0.01,0.2704,1
-0.92,-0.41,0.8464,0.1681,-1
-0.67,0.31,0.4489,0.0961,-1
0.66,-0.71,0.4356,0.5041,-1
0.64,-0.49,0.4096,0.2401,-1
0.22,-0.13,0.0484,0.0169,-1
-0.61,0.04,0.3721,0.0016,-1
0.98,-0.51,0.9604,0.2601,-1
0.26,-0.37,0.0676,0.1369,-1
0.39,0.03,0.1521,0.0009,-1
0.27,0.94,0.0729,0.8836,1
0.06,-0.99,0.0036,0.9801,-1
0.27,-0.66,0.0729,0.4356,-1
0.92,-1,0.8464,1,-1
-0.95,0.64,0.9025,0.4096,-1
-0.08,-0.15,0.0064,0.0225,-1
0.32,0.24,0.1024,0.0576,-1
-0.3,0.21,0.09,0.0441,1
-0.91,-0.54,0.8281,0.2916,-1
0.95,0.86,0.9025,0.7396,-1
-0.84,0.13,0.7056,0.0169,-1
0.91,-0.82,0.8281,0.6724,-1
-0.76,0.46,0.5776,0.2116,-1
0.9,0.38,0.81,0.1444,-1
0.83,0.43,0.6889,0.1849,-1
-0.73,-0.65,0.5329,0.4225,-1
0.6,0.67,0.36,0.4489,-1
0.95,-0.63,0.9025,0.3969,-1
-0.21,-0.54,0.0441,0.2916,-1
-0.73,-0.6,0.5329,0.36,-1
-0.22,-0.44,0.0484,0.1936,-1
0.23,-0.53,0.0529,0.2809,-1
0.69,-0.28,0.4761,0.0784,-1
-0.51,-0.39,0.2601,0.1521,-1
0.3,-0.56,0.09,0.3136,-1
0.74,-0.29,0.5476,0.0841,-1
0.02,-0.69,0.0004,0.4761,-1
0.55,-0.74,0.3025,0.5476,-1
0.29,0.06,0.0841,0.0036,-1
0.49,0.33,0.2401,0.1089,-1
0.55,-0.89,0.3025,0.7921,-1
-0.26,0.35,0.0676,0.1225,1
-0.89,0.03,0.7921,0.0009,-1
-0.06,0.53,0.0036,0.2809,1
0.14,-0.17,0.0196,0.0289,-1
-0.23,-0.43,0.0529,0.1849,-1
-0.25,0.6,0.0625,0.36,1
-0.6,0.14,0.36,0.0196,-1
-0.58,-0.58,0.3364,0.3364,-1
-0.09,0.92,0.0081,0.8464,1
0.8,0.46,0.64,0.2116,-1
0.24,-0.8,0.0576,0.64,-1
0.17,-0.69,0.0289,0.4761,-1
0.81,0.26,0.6561,0.0676,-1
0.06,-0.6,0.0036,0.36,-1
-0.25,0.17,0.0625,0.0289,1
0.16,0.93,0.0256,0.8649,1
0.88,-0.67,0.7744,0.4489,-1
-0.14,-0.24,0.0196,0.0576,-1
-0.11,0.67,0.0121,0.4489,1
-0.75,0.46,0.5625,0.2116,-1
0.74,-0.3,0.5476,0.09,-1
-0.44,0.87,0.1936,0.7569,1
-0.58,0.68,0.3364,0.4624,1
0.82,-0.27,0.6724,0.0729,-1
-0.97,0.49,0.9409,0.2401,-1
-0.18,-0.36,0.0324,0.1296,-1
0.2,-0.48,0.04,0.2304,-1
-0.28,0.38,0.0784,0.1444,1
-0.34,-0.74,0.1156,0.5476,-1
-0.48,-0.48,0.2304,0.2304,-1
0.84,-0.74,0.7056,0.5476,-1
0.36,-0.18,0.1296,0.0324,-1
0.19,0.25,0.0361,0.0625,1
-0.72,0.06,0.5184,0.0036,-1
0.78,0.1,0.6084,0.01,-1
-0.57,0.92,0.3249,0.8464,1
0.03,0.12,0.0009,0.0144,1
0.95,0.84,0.9025,0.7056,-1
0.63,-0.5,0.3969,0.25,-1
-0.03,0.03,0.0009,0.0009,-1
0.77,-0.14,0.5929,0.0196,-1
0.27,-0.78,0.0729,0.6084,-1
-0.36,0.42,0.1296,0.1764,1
0.69,0.7,0.4761,0.49,-1
0.47,0.48,0.2209,0.2304,1
-0.28,0.92,0.0784,0.8464,1
-0.37,-0.06,0.1369,0.0036,-1
0.05,-0.11,0.0025,0.0121,-1
-0.15,-0.49,0.0225,0.2401,-1
-0.08,0.49,0.0064,0.2401,1
0.51,0.26,0.2601,0.0676,-1
-0.64,-0.47,0.4096,0.2209,-1
-0.96,0.17,0.9216,0.0289,-1
-0.03,-0.14,0.0009,0.0196,-1
-0.04,-0.68,0.0016,0.4624,-1
-0.95,0.04,0.9025,0.0016,-1
0.06,0.67,0.0036,0.4489,1
0.19,-0.28,0.0361,0.0784,-1
0.15,0.57,0.0225,0.3249,1
0.63,-0.52,0.3969,0.2704,-1
0.12,1,0.0144,1,1
0.48,-0.65,0.2304,0.4225,-1
-0.94,-0.6,0.8836,0.36,-1
-0.95,0.37,0.9025,0.1369,-1
0.75,-0.67,0.5625,0.4489,-1
-0.08,-0.62,0.0064,0.3844,-1
1,0.45,1,0.2025,-1
-0.99,-0.37,0.9801,0.1369,-1
-0.08,0.79,0.0064,0.6241,1
-0.67,0.42,0.4489,0.1764,-1
0.24,-0.47,0.0576,0.2209,-1
0.4,-0.99,0.16,0.9801,-1
-0.93,-0.93,0.8649,0.8649,-1
0.94,-0.88,0.8836,0.7744,-1
-0.36,0.88,0.1296,0.7744,1
0.68,-0.2,0.4624,0.04,-1
0.76,-0.21,0.5776,0.0441,-1
0.5,-0.19,0.25,0.0361,-1
0.97,0.73,0.9409,0.5329,-1
-1,-0.94,1,0.8836,-1
-0.47,0.3,0.2209,0.09,-1
0.06,-0.31,0.0036,0.0961,-1
0.94,-0.23,0.8836,0.0529,-1
0.22,-0.29,0.0484,0.0841,-1
0.87,0.35,0.7569,0.1225,-1
-0.15,0.03,0.0225,0.0009,-1
-0.78,-0.22,0.6084,0.0484,-1
0.04,-0.72,0.0016,0.5184,-1
-0.5,-0.75,0.25,0.5625,-1
0.75,-0.74,0.5625,0.5476,-1
-0.59,-0.21,0.3481,0.0441,-1
0.61,0.86,0.3721,0.7396,1
-0.19,0.79,0.0361,0.6241,1
-0.92,0,0.8464,0,-1
0.5,-0.13,0.25,0.0169,-1
-0.22,0.72,0.0484,0.5184,1
-0.14,0.95,0.0196,0.9025,1
0.74,-0.02,0.5476,0.0004,-1
0.42,0.48,0.1764,0.2304,1
-0.17,0.23,0.0289,0.0529,1
-0.7,0.64,0.49,0.4096,-1
0.08,0.24,0.0064,0.0576,1
-0.46,-0.95,0.2116,0.9025,-1
-0.21,-0.87,0.0441,0.7569,-1
0.75,0.64,0.5625,0.4096,-1
-0.95,-0.59,0.9025,0.3481,-1
0.38,0.27,0.1444,0.0729,-1
0.5,0.01,0.25,0.0001,-1
0.89,-0.58,0.7921,0.3364,-1
-0.47,0.25,0.2209,0.0625,-1
0.44,0.55,0.1936,0.3025,1
